DNA Sequence,avg_reward,highest reward in an episode,the whole 10 episodes reward,what kind of mutaion 
"['C', 37, 'R', 'C', 41, 'T', 'C', 37, 'R', 'C', 5, 'T', 'C', 1]",304.7,438,"[169.0, 174.0, 173.0, 325.0, 306.0, 312.0, 437.0, 438.0, 323.0, 390.0]",remove a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 2, 'T', 'C', 38, 'R', 'C', 1]",304,500,"[365.0, 150.0, 360.0, 341.0, 231.0, 285.0, 305.0, 291.0, 212.0, 500.0]",add a classical layer
"['C', 29, 'T', 'C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",303.3,500,"[187.0, 164.0, 500.0, 241.0, 402.0, 245.0, 407.0, 396.0, 152.0, 339.0]",add a classical layer
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,"[220.0, 294.0, 225.0, 401.0, 420.0, 334.0, 317.0, 222.0, 196.0, 397.0]",add a classical layer
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,420,[],identity
"['C', 37, 'T', 'C', 31, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",302.6,500,"[245.0, 500.0, 382.0, 429.0, 296.0, 252.0, 226.0, 214.0, 262.0, 220.0]",alter a layer: add
"['C', 37, 'T', 'C', 6, 'T', 'C', 5, 'T', 'C', 1]",301.9,500,"[281.0, 443.0, 307.0, 265.0, 224.0, 151.0, 500.0, 166.0, 182.0, 500.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'R', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",301.6,489,"[167.0, 290.0, 129.0, 438.0, 367.0, 282.0, 398.0, 489.0, 180.0, 276.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 55, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",300.9,500,"[217.0, 294.0, 101.0, 407.0, 500.0, 414.0, 386.0, 133.0, 153.0, 404.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 55, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",300.9,500,[],identity
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 55, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",300.9,500,[],identity
"['C', 37, 'R', 'C', 41, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",299.6,417,"[171.0, 341.0, 410.0, 315.0, 262.0, 417.0, 308.0, 178.0, 225.0, 369.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 61, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",299,407,"[407.0, 292.0, 372.0, 340.0, 328.0, 125.0, 321.0, 320.0, 133.0, 352.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 2, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",298.4,483,"[233.0, 278.0, 32.0, 482.0, 210.0, 348.0, 385.0, 483.0, 180.0, 353.0]",change the repetitions of the ansatz
